Year,Country,Code,Affordability - percentage of GDP per capita required to purchase 2000 cigarettes of the most sold brand,Longitude,Latitude
2012,Afghanistan,AFG,4.45,65.0,33.0
2012,Albania,ALB,3.7,20.0,41.0
2012,Algeria,DZA,1.97,3.0,28.0
2012,Andorra,AND,1.03,1.6,42.5
2012,Angola,AGO,3.0,18.5,-12.5
2012,Antigua and Barbuda,ATG,1.74,-61.8,17.05
2012,Argentina,ARG,1.27,-64.0,-34.0
2012,Armenia,ARM,4.18,45.0,40.0
2012,Australia,AUS,2.06,133.0,-27.0
2012,Austria,AUT,1.19,13.3333,47.3333
2012,Azerbaijan,AZE,1.86,47.5,40.5
2012,Bahamas,BHS,1.64,-76.0,24.25
2012,Bahrain,BHR,1.05,50.55,26.0
2012,Bangladesh,BGD,4.1,90.0,24.0
2012,Barbados,BRB,3.45,-59.5333,13.1667
2012,Belarus,BLR,0.53,28.0,53.0
2012,Belgium,BEL,1.51,4.0,50.8333
2012,Belize,BLZ,5.59,-88.75,17.25
2012,Benin,BEN,8.55,2.25,9.5
2012,Bolivia,BOL,4.38,-65.0,-17.0
2012,Bosnia and Herzegovina,BIH,3.85,18.0,44.0
2012,Botswana,BWA,4.75,24.0,-22.0
2012,Brazil,BRA,1.75,-55.0,-10.0
2012,Brunei,BRN,1.24,114.6667,4.5
2012,Bulgaria,BGR,4.08,25.0,43.0
2012,Burkina Faso,BFA,12.92,-2.0,13.0
2012,Burundi,BDI,22.17,30.0,-3.5
2012,Cambodia,KHM,4.43,105.0,13.0
2012,Cameroon,CMR,7.22,12.0,6.0
2012,Canada,CAN,1.61,-95.0,60.0
2012,Cape Verde,CPV,6.15,-24.0,16.0
2012,Chad,TCD,10.09,19.0,15.0
2012,Chile,CHL,2.2,-71.0,-30.0
2012,China,CHN,2.66,105.0,35.0
2012,Colombia,COL,1.59,-72.0,4.0
2012,Comoros,COM,9.31,44.25,-12.1667
2012,Congo,COG,2.13,15.0,-1.0
2012,Cook Islands,COK,6.33,-159.7667,-21.2333
2012,Costa Rica,CRI,2.6,-84.0,10.0
2012,Cote d'Ivoire,CIV,8.13,-5.0,8.0
