,Country,Code,Year,Continent,Gender,Percentage,Longitude,Latitude
0,Afghanistan,AFG,2019,,Males,40.09999847,65,33
1,Afghanistan,AFG,2019,,Females,7.5,65,33
2,Africa,,2019,,Males,,0,0
3,Africa,,2019,,Females,,0,0
4,Albania,ALB,2019,,Males,39.79999924,20,41
5,Albania,ALB,2019,,Females,6.199999809,20,41
6,Algeria,DZA,2019,,Males,41.29999924,3,28
7,Algeria,DZA,2019,,Females,0.699999988,3,28
8,American Samoa,ASM,2019,,Males,,-170,-14.3333
9,American Samoa,ASM,2019,,Females,,-170,-14.3333
10,Andorra,AND,2019,,Males,35.59999847,1.6,42.5
11,Andorra,AND,2019,,Females,28.29999924,1.6,42.5
12,Angola,AGO,2019,,Males,,18.5,-12.5
13,Angola,AGO,2019,,Females,,18.5,-12.5
14,Anguilla,AIA,2019,,Males,,-63.1667,18.25
15,Anguilla,AIA,2019,,Females,,-63.1667,18.25
16,Antigua and Barbuda,ATG,2019,,Males,,-61.8,17.05
17,Antigua and Barbuda,ATG,2019,,Females,,-61.8,17.05
18,Argentina,ARG,2019,,Males,29.79999924,-64,-34
19,Argentina,ARG,2019,,Females,19.89999962,-64,-34
20,Armenia,ARM,2019,,Males,50,45,40
21,Armenia,ARM,2019,,Females,1.5,45,40
22,Aruba,ABW,2019,,Males,,-69.9667,12.5
23,Aruba,ABW,2019,,Females,,-69.9667,12.5
24,Asia,,2019,,Males,,0,0
25,Asia,,2019,,Females,,0,0
26,Australia,AUS,2019,,Males,16,133,-27
27,Australia,AUS,2019,,Females,11.89999962,133,-27
28,Austria,AUT,2019,,Males,28.60000038,13.3333,47.3333
29,Austria,AUT,2019,,Females,25.60000038,13.3333,47.3333
30,Azerbaijan,AZE,2019,,Males,48.20000076,47.5,40.5
31,Azerbaijan,AZE,2019,,Females,0.100000001,47.5,40.5
32,Bahamas,BHS,2019,,Males,18.79999924,-76,24.25
33,Bahamas,BHS,2019,,Females,2.5,-76,24.25
34,Bahrain,BHR,2019,,Males,25.70000076,50.55,26
35,Bahrain,BHR,2019,,Females,4.599999905,50.55,26
36,Bangladesh,BGD,2019,,Males,52.5,90,24
37,Bangladesh,BGD,2019,,Females,17.89999962,90,24
38,Barbados,BRB,2019,,Males,15,-59.5333,13.1667
39,Barbados,BRB,2019,,Females,1.899999976,-59.5333,13.1667
40,Belarus,BLR,2019,,Males,48.20000076,28,53
41,Belarus,BLR,2019,,Females,13.60000038,28,53
