Country,Code,Year,Males,Females,Population (historical estimates),Continent,Longitude,Latitude
Afghanistan,AFG,2020,39.40000153,7.199999809,38972236,,65,33
Africa,,2020,,,1360677453,,0,0
Albania,ALB,2020,38.79999924,6,2866850,,20,41
Algeria,DZA,2020,41.29999924,0.699999988,43451668,,3,28
American Samoa,ASM,2020,,,46216,,-170,-14.3333
Andorra,AND,2020,35.29999924,28.29999924,77723,,1.6,42.5
Angola,AGO,2020,,,33428490,,18.5,-12.5
Anguilla,AIA,2020,,,15612,,-63.1667,18.25
Antigua and Barbuda,ATG,2020,,,92672,,-61.8,17.05
Argentina,ARG,2020,29.39999962,19.60000038,45036032,,-64,-34
Armenia,ARM,2020,49.40000153,1.5,2805610,,45,40
Aruba,ABW,2020,,,106597,,-69.9667,12.5
Asia,,2020,,,4663086623,,0,0
Australia,AUS,2020,15.60000038,11.5,25670052,,133,-27
Austria,AUT,2020,27.70000076,25,8907780,,13.3333,47.3333
Azerbaijan,AZE,2020,47.90000153,0.100000001,10284952,,47.5,40.5
Bahamas,BHS,2020,18.79999924,2.400000095,406478,,-76,24.25
Bahrain,BHR,2020,25.29999924,4.5,1477478,,50.55,26
Bangladesh,BGD,2020,52.20000076,17.10000038,167420944,,90,24
Barbados,BRB,2020,15,1.899999976,280704,,-59.5333,13.1667
Belarus,BLR,2020,47.40000153,13.5,9633745,,28,53
Belgium,BEL,2020,25.79999924,21,11561716,,4,50.8333
Belize,BLZ,2020,15.10000038,1.799999952,394931,,-88.75,17.25
Benin,BEN,2020,11.80000019,1.899999976,12643121,,2.25,9.5
Bermuda,BMU,2020,,,64051,,-64.75,32.3333
Bhutan,BTN,2020,,,772512,,90.5,27.5
Bolivia,BOL,2020,20.5,4.800000191,11936169,,-65,-17
Bonaire Sint Eustatius and Saba,BES,2020,,,26178,,0,0
Bosnia and Herzegovina,BIH,2020,42,28,3318410,,18,44
Botswana,BWA,2020,30.39999962,8.300000191,2546404,,24,-22
Brazil,BRA,2020,16.20000076,9.399999619,213196304,,-55,-10
British Virgin Islands,VGB,2020,,,30934,,-64.5,18.5
Brunei,BRN,2020,30,2.299999952,441736,,114.6667,4.5
Bulgaria,BGR,2020,40.90000153,37.09999847,6979181,,25,43
Burkina Faso,BFA,2020,22.10000038,6.400000095,21522632,,-2,13
Burundi,BDI,2020,17.39999962,6.099999905,12220229,,30,-3.5
Cambodia,KHM,2020,36.09999847,6,16396864,,105,13
Cameroon,CMR,2020,13.19999981,1.399999976,26491090,,12,6
Canada,CAN,2020,15.30000019,10.69999981,37888704,,-95,60
Cape Verde,CPV,2020,17.29999924,5.400000095,582646,,-24,16
Cayman Islands,CYM,2020,,,67327,,-80.5,19.5
Central African Republic,CAF,2020,,,5343024,,21,7
Chad,TCD,2020,13.80000019,2.700000048,16644707,,19,15
Chile,CHL,2020,31.60000038,26.79999924,19300318,,-71,-30
China,CHN,2020,49.40000153,1.700000048,1424929792,,105,35
