,Country,Code,Year,Deaths_Recorded,Income classifications (World Bank (2017)),Deaths_Recorded_2019,Year_2019
0,Afghanistan,AFG,1990,5174,Low income,10306,2019
1,Afghanistan,AFG,1991,5247,Low income,10306,2019
2,Afghanistan,AFG,1992,5363,Low income,10306,2019
3,Afghanistan,AFG,1993,5522,Low income,10306,2019
4,Afghanistan,AFG,1994,5689,Low income,10306,2019
5,Afghanistan,AFG,1995,5801,Low income,10306,2019
6,Afghanistan,AFG,1996,5934,Low income,10306,2019
7,Afghanistan,AFG,1997,6066,Low income,10306,2019
8,Afghanistan,AFG,1998,6178,Low income,10306,2019
9,Afghanistan,AFG,1999,6288,Low income,10306,2019
10,Afghanistan,AFG,2000,6378,Low income,10306,2019
11,Afghanistan,AFG,2001,6505,Low income,10306,2019
12,Afghanistan,AFG,2002,6488,Low income,10306,2019
13,Afghanistan,AFG,2003,6528,Low income,10306,2019
14,Afghanistan,AFG,2004,6594,Low income,10306,2019
15,Afghanistan,AFG,2005,6636,Low income,10306,2019
16,Afghanistan,AFG,2006,6720,Low income,10306,2019
17,Afghanistan,AFG,2007,6849,Low income,10306,2019
18,Afghanistan,AFG,2008,7026,Low income,10306,2019
19,Afghanistan,AFG,2009,7181,Low income,10306,2019
20,Afghanistan,AFG,2010,7340,Low income,10306,2019
21,Afghanistan,AFG,2011,7572,Low income,10306,2019
22,Afghanistan,AFG,2012,7856,Low income,10306,2019
23,Afghanistan,AFG,2013,8124,Low income,10306,2019
24,Afghanistan,AFG,2014,8429,Low income,10306,2019
25,Afghanistan,AFG,2015,8786,Low income,10306,2019
26,Afghanistan,AFG,2016,9157,Low income,10306,2019
27,Afghanistan,AFG,2017,9586,Low income,10306,2019
28,Afghanistan,AFG,2018,9975,Low income,10306,2019
29,Afghanistan,AFG,2019,10306,Low income,10306,2019
30,Afghanistan,AFG,1987,,Low income,10306,2019
31,Afghanistan,AFG,1988,,Low income,10306,2019
32,Afghanistan,AFG,1989,,Low income,10306,2019
33,African Region (WHO),,1990,175454,Low income,236433,2019
34,African Region (WHO),,1991,179235,Low income,236433,2019
35,African Region (WHO),,1992,183931,Low income,236433,2019
36,African Region (WHO),,1993,185843,Low income,236433,2019
37,African Region (WHO),,1994,190794,Low income,236433,2019
38,African Region (WHO),,1995,195921,Low income,236433,2019
39,African Region (WHO),,1996,201739,Low income,236433,2019
40,African Region (WHO),,1997,209218,Low income,236433,2019
41,African Region (WHO),,1998,213098,Low income,236433,2019
42,African Region (WHO),,1999,212744,Low income,236433,2019
43,African Region (WHO),,2000,215529,Low income,236433,2019
44,African Region (WHO),,2001,214909,Low income,236433,2019
45,African Region (WHO),,2002,215498,Low income,236433,2019
46,African Region (WHO),,2003,216621,Low income,236433,2019
